trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-106.53507220381546,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-197.65523858695335,"{0: 17, 1: 6, 2: 3, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-120.2136463271491,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-73.72526894798986,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,15,-38.24060374070652,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-11.917308847456326,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-87.71662757161646,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,8,-90.24545635248735,"{0: 14, 1: 3, 2: 2, 3: 2, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-50.68544696652651,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-49.95690579023058,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-69.68275055536452,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-33.164934945892504,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,4,-10.713074526525869,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,8,-66.49146963014184,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,6.271483691968348,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,10,3.3974805352333406,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,11,17.433624773090173,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,10,-10.06374471028283,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,10,18.682052737011112,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,6,23.963789841764825,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",20,0,24.85133977882847,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",20,11,12.80156756554122,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",25,11,23.624267063064487,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",20,7,22.336044317235686,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",20,3,21.956046788360535,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",20,7,20.80248623219138,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",25,17,13.415375073050438,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",25,0,32.82396562193085,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",25,0,36.05508875235362,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",20,16,9.985333673431388,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
