trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,0,-55.15013354200399,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,0,-94.89829141746185,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",25,0,-130.16700715078298,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",30,14,-103.42627146232543,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 2}",1
5,False,"{'a': 0.01, 'e': 0.951229424500714}",30,0,-83.31363472922806,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",25,5,-236.16627132394387,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 4}",1
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-143.65360686080618,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",35,10,-110.5059972188345,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",1
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",30,0,-140.38194289473682,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",25,0,-153.78488918633178,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",30,0,-107.11801298935872,"{0: 20, 1: 6, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-115.12500496931236,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,0,-27.444088091438445,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,5,-111.5918580067292,"{0: 6, 1: 4, 2: 2, 3: 2, 4: 1}",1
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",20,0,-90.37952440561588,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
