trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.43136287940713,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-197.2128034929364,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.99048768786623,"{0: 14, 1: 1, 2: 8, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.79219712186102,"{0: 13, 1: 4, 2: 0, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,1,-114.59463042697044,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.91787618382676,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.07591909975845,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.20340421582145,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-221.08713902185661,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 5}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.40634838374385,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-155.6377583863179,"{0: 17, 1: 1, 2: 9, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.8719235676985,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.41296668326966,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-121.57883153003529,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,8,-69.33062986322696,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.43752566381905,"{0: 13, 1: 4, 2: 4, 3: 4, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,13,-9.559276830457534,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.90028394950423,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-9.483805823578228,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.4304628123783,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-270.2099399096878,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.05495766201446,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-156.9301702829936,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-195.69303464487447,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-193.36784272469077,"{0: 18, 1: 0, 2: 9, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-167.6876013070927,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.63226978757053,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-185.32891744542974,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.86538299189928,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-175.42367069862132,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
