trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",30,0,-114.94370867167893,"{0: 20, 1: 4, 2: 2, 3: 3, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,0,-130.01453133908672,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-120.37645516015787,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",35,0,-111.5870968964866,"{0: 26, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",20,0,-94.62474788271837,"{0: 12, 1: 5, 2: 0, 3: 2, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-133.3580649985545,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-81.442232351856,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",35,0,-174.14527776947654,"{0: 17, 1: 8, 2: 7, 3: 2, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",30,0,-137.0761334926398,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-128.84739846907127,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,0,-45.664666128111364,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-72.87898441535422,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,0,-72.40419176631099,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-94.34539156379425,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",25,10,-120.95751456849817,"{0: 9, 1: 1, 2: 1, 3: 2, 4: 2}",1
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",30,0,-175.50847989579452,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",20,0,-47.945610944025894,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",30,6,-93.16775660467567,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 1}",1
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,20,7.952498156610963,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
